date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2011:42:55%20GMT	http://ghosted.vip/robots.txt		(from )
13:42:54	11821/11821	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2013:03:06%20GMT	http://ghosted.vip/	C:/Users/macek/Desktop/dog2/ghosted.vip/index.html	(from )
13:42:55	10418/10418	---M--	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202020%2013:19:06%20GMT	http://ghosted.vip/css/style.css	C:/Users/macek/Desktop/dog2/ghosted.vip/css/style.css	(from http://ghosted.vip/)
13:42:55	11821/11821	---M--	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2013:03:06%20GMT	http://ghosted.vip/index.html	C:/Users/macek/Desktop/dog2/ghosted.vip/index-2.html	(from http://ghosted.vip/)
13:42:56	40900/40900	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2025%20Jun%202022%2011:42:57%20GMT	http://ghosted.vip/forum/index.php?account/upgrades	C:/Users/macek/Desktop/dog2/ghosted.vip/forum/index.44886.delayed	(from http://ghosted.vip/)
13:42:57	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%2256b46601f46afb33fc4cc430f53492ee%22	https://use.fontawesome.com/releases/v5.8.0/css/all.css	C:/Users/macek/Desktop/dog2/use.fontawesome.com/releases/v5.8.0/css/all.css	(from http://ghosted.vip/)
13:42:57	40883/40883	---M-Z	403	error ('Forbidden')	text/html	date:Sat,%2025%20Jun%202022%2011:42:58%20GMT	http://ghosted.vip/forum/index.php	C:/Users/macek/Desktop/dog2/ghosted.vip/forum/index.php	(from http://ghosted.vip/)
13:42:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2011:42:59%20GMT	http://ghosted.vip/img/home4.html	C:/Users/macek/Desktop/dog2/ghosted.vip/img/home4.html	(from http://ghosted.vip/)
13:42:58	0/0	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Oct%202020%2007:23:26%20GMT	http://ghosted.vip/js/jquery.min.js	C:/Users/macek/Desktop/dog2/ghosted.vip/js/jquery.min.js	(from http://ghosted.vip/)
13:42:58	2876/2876	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Jun%202022%2019:59:25%20GMT	http://ghosted.vip/js/script.js	C:/Users/macek/Desktop/dog2/ghosted.vip/js/script.js	(from http://ghosted.vip/)
13:43:02	57765/57765	---M--	200	added ('OK')	image/x-icon	date:Sun,%2019%20Apr%202020%2016:05:10%20GMT	http://ghosted.vip/img/favicon.ico	C:/Users/macek/Desktop/dog2/ghosted.vip/img/favicon.ico	(from http://ghosted.vip/)
13:43:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2011:43:04%20GMT	http://ghosted.vip/img/overlay.png	C:/Users/macek/Desktop/dog2/ghosted.vip/img/overlay.c.delayed	(from http://ghosted.vip/css/style.css)
13:43:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2011:43:05%20GMT	http://ghosted.vip/img/bg-advantages.jpg	C:/Users/macek/Desktop/dog2/ghosted.vip/img/bg-advantages.jpg	(from http://ghosted.vip/css/style.css)
13:43:30	276958/276958	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2007:43:48%20GMT	http://ghosted.vip/img/main.png	C:/Users/macek/Desktop/dog2/ghosted.vip/img/main.png	(from http://ghosted.vip/)
13:43:42	1123786/1123786	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4ceb0a01abfb7550fb9786c8cd3a3a9%22	https://use.fontawesome.com/releases/v5.8.0/js/all.js	C:/Users/macek/Desktop/dog2/use.fontawesome.com/releases/v5.8.0/js/all.js	(from http://ghosted.vip/)
13:44:37	1738084/1738084	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Oct%202020%2007:33:52%20GMT	http://ghosted.vip/img/hero-bg.png	C:/Users/macek/Desktop/dog2/ghosted.vip/img/hero-bg.png	(from http://ghosted.vip/css/style.css)
